Edad,estrato,price_plan,mes,dia,venta,plan_MB,genero_label,tipo_plan_label,nombre_zone_N,nombre_zone_O,nombre_zone_S,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-69,motivo_rechazo_solicitud_Doble Solicitud,motivo_rechazo_solicitud_Errores en la Solicitud,motivo_rechazo_solicitud_Falta de Interés,motivo_rechazo_solicitud_Financiero,motivo_rechazo_solicitud_No Aplica,motivo_rechazo_solicitud_Otro,motivo_rechazo_solicitud_Tiempos y Procesos
48,2,63749.0,2,7,0,100,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
37,4,63749.0,6,14,0,100,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True
62,2,63749.0,4,17,1,100,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
62,3,62800.0,9,6,1,350,0,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False
55,4,79049.0,6,24,1,300,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
31,1,63749.0,2,10,1,100,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
48,4,63749.0,5,19,1,100,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
43,2,63749.0,6,12,0,100,0,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False
57,3,79049.0,1,14,0,300,0,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False
30,3,58320.0,8,15,1,250,1,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
33,2,58320.0,9,17,1,250,0,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
40,3,69749.0,4,19,0,300,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False
47,2,79049.0,6,6,0,300,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
51,3,56249.0,6,12,0,100,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False
33,3,79049.0,5,29,1,300,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
42,3,61965.0,9,23,1,250,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
62,2,68850.0,9,29,1,350,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False
34,2,66399.0,5,29,1,200,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
57,1,63749.0,5,15,1,100,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
19,3,61965.0,9,12,1,250,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
55,2,61965.0,9,25,1,250,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
56,3,79049.0,5,22,1,300,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False
37,5,70549.0,2,13,1,200,0,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
23,1,61965.0,8,16,1,250,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
20,2,74399.0,1,5,0,300,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False
49,2,56249.0,5,29,1,100,0,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False
45,3,63749.0,4,10,1,100,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
45,3,63749.0,6,12,1,100,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
29,3,66725.0,10,23,1,350,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False
54,4,69749.0,4,11,0,300,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False
23,2,62250.0,3,24,0,200,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False
25,2,63749.0,2,7,1,100,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
21,3,69749.0,6,26,1,300,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
63,1,70549.0,6,14,0,200,1,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False
26,3,74399.0,4,23,1,300,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
46,1,58565.0,7,22,1,250,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False
19,3,58320.0,7,12,1,250,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
65,3,61965.0,8,3,0,250,0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False
66,4,70549.0,2,6,1,200,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
40,3,68850.0,11,16,1,350,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
44,4,69749.0,3,18,1,300,0,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False
53,5,70549.0,1,10,0,200,0,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False
34,5,70549.0,3,22,1,200,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False
31,1,61965.0,11,23,1,250,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
59,1,61965.0,8,12,1,250,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False
54,1,55120.0,11,7,1,250,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False
35,6,79049.0,4,11,1,300,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
41,2,70549.0,6,19,1,200,0,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False
51,2,69749.0,9,22,1,300,1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False
46,5,71920.0,12,17,0,250,0,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False
34,2,55120.0,1,24,0,250,0,0,False,False,True,True,False,False,False,False,False,False,True,False,False,False
35,3,69749.0,5,7,1,300,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False
