is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,H,61,Cali,4,66399.0,S,No Aplica,NO,No Aplica,12,1,1,60-69,Internet-voz,200
Orden creada,H,50,Cali,1,56249.0,O,No Aplica,NO,No Aplica,12,1,1,50-59,Internet,100
Orden creada,H,58,Cali,2,56249.0,S,No Aplica,NO,No Aplica,12,1,1,50-59,Internet,100
Orden creada,H,28,Cali,5,56249.0,S,No Aplica,NO,No Aplica,12,1,1,18-29,Internet,100
Orden creada,M,40,Cali,3,62250.0,O,Cartera,SI,No Aplica,12,1,1,40-49,Internet,200
Orden creada,M,22,Cali,2,69749.0,C,No Aplica,NO,No Aplica,12,2,1,18-29,Internet,300
Orden creada,M,26,Cali,4,69749.0,S,Voluntario,SI,No Aplica,12,2,1,18-29,Internet,300
Orden creada,M,42,Cali,1,59999.0,O,Voluntario,SI,No Aplica,12,2,1,40-49,Internet-voz,100
Orden creada,H,57,Cali,4,69749.0,C,No Aplica,NO,No Aplica,12,2,1,50-59,Internet,300
Rechazado,H,27,Cali,3,59999.0,C,No Aplica,NO,Otro,12,2,0,18-29,Internet-voz,100
Rechazado,H,35,Cali,3,59999.0,C,No Aplica,NO,Otro,12,2,0,30-39,Internet-voz,100
Rechazado,H,50,Cali,3,56249.0,S,No Aplica,NO,Otro,12,2,0,50-59,Internet,100
Orden creada,M,57,Cali,2,56249.0,S,Cartera,SI,No Aplica,12,2,1,50-59,Internet,100
Orden creada,H,50,Cali,2,66399.0,O,No Aplica,NO,No Aplica,12,2,1,50-59,Internet-voz,200
Rechazado,M,47,Cali,3,59999.0,S,No Aplica,NO,Otro,12,3,0,40-49,Internet-voz,100
Orden creada,H,53,Cali,3,74399.0,O,No Aplica,NO,No Aplica,12,4,1,50-59,Internet-voz,300
Orden creada,M,56,Cali,5,69749.0,N,Anulacion,SI,No Aplica,12,4,1,50-59,Internet,300
Orden creada,H,55,Jamundi,3,62250.0,O,No Aplica,NO,No Aplica,12,4,1,50-59,Internet,200
Orden creada,H,57,Cali,2,74399.0,C,No Aplica,NO,No Aplica,12,4,1,50-59,Internet-voz,300
Orden creada,H,33,Cali,3,69749.0,N,Cartera,SI,No Aplica,12,4,1,30-39,Internet,300
Orden creada,H,28,Cali,3,68000.0,N,No Aplica,NO,No Aplica,12,4,1,18-29,Internet,80
Orden creada,M,34,Cali,2,69749.0,C,Voluntario,SI,No Aplica,12,4,1,30-39,Internet,300
Orden creada,H,25,Cali,3,62250.0,N,No Aplica,NO,No Aplica,12,4,1,18-29,Internet,200
Orden creada,H,60,Cali,2,66399.0,N,No Aplica,NO,No Aplica,12,4,1,60-69,Internet-voz,200
Orden creada,M,27,Cali,1,56249.0,O,No Aplica,NO,No Aplica,12,4,1,18-29,Internet,100
Rechazado,M,34,Cali,2,62250.0,N,No Aplica,NO,Otro,12,4,0,30-39,Internet,200
Orden creada,M,19,Cali,4,56249.0,S,Cartera,SI,No Aplica,12,4,1,18-29,Internet,100
Orden creada,H,58,Cali,3,74399.0,N,Anulacion,SI,No Aplica,12,5,1,50-59,Internet-voz,300
Orden creada,H,57,Cali,2,56249.0,S,No Aplica,NO,No Aplica,12,5,1,50-59,Internet,100
Orden creada,H,48,Cali,3,74399.0,O,No Aplica,NO,No Aplica,12,5,1,40-49,Internet-voz,300
Orden creada,M,31,Cali,2,62250.0,C,Anulacion,SI,No Aplica,12,5,1,30-39,Internet,200
Orden creada,H,52,Cali,2,62250.0,C,Voluntario,SI,No Aplica,12,5,1,50-59,Internet,200
Orden creada,H,35,Cali,3,59999.0,N,No Aplica,NO,No Aplica,12,6,1,30-39,Internet-voz,100
Orden creada,H,44,Cali,3,66399.0,S,No Aplica,NO,No Aplica,12,6,1,40-49,Internet-voz,200
Orden creada,H,44,Cali,2,56249.0,O,No Aplica,NO,No Aplica,12,6,1,40-49,Internet,100
Orden creada,H,39,Cali,3,62250.0,C,No Aplica,NO,No Aplica,12,6,1,30-39,Internet,200
Rechazado,H,40,Jamundi,3,74399.0,S,No Aplica,NO,Otro,12,6,0,40-49,Internet-voz,300
Orden creada,H,58,Jamundi,3,74399.0,S,Anulacion,SI,No Aplica,12,6,1,50-59,Internet-voz,300
Orden creada,M,45,Cali,3,69749.0,C,Cartera,SI,No Aplica,12,6,1,40-49,Internet,300
Orden creada,H,52,Cali,5,59999.0,O,No Aplica,NO,No Aplica,12,7,1,50-59,Internet-voz,100
Orden creada,H,59,Cali,5,66399.0,S,Voluntario,SI,No Aplica,12,7,1,50-59,Internet-voz,200
Orden creada,M,60,Cali,4,69749.0,S,Anulacion,SI,No Aplica,12,7,1,60-69,Internet,300
Orden creada,M,42,Cali,5,66399.0,O,No Aplica,NO,No Aplica,12,7,1,40-49,Internet-voz,200
Orden creada,H,52,Cali,3,62250.0,O,No Aplica,NO,No Aplica,12,7,1,50-59,Internet,200
Orden creada,H,28,Cali,2,56249.0,C,No Aplica,NO,No Aplica,12,7,1,18-29,Internet,100
Orden creada,H,38,Cali,1,56249.0,O,Anulacion,SI,No Aplica,12,9,1,30-39,Internet,100
Orden creada,H,36,Cali,2,69749.0,O,No Aplica,NO,No Aplica,12,9,1,30-39,Internet,300
Orden creada,H,60,Cali,2,74399.0,N,No Aplica,NO,No Aplica,12,9,1,60-69,Internet-voz,300
Orden creada,H,55,Cali,1,59999.0,O,Voluntario,SI,No Aplica,12,10,1,50-59,Internet-voz,100
Orden creada,H,66,Cali,1,66399.0,S,Anulacion,SI,No Aplica,12,10,1,60-69,Internet-voz,200
Orden creada,M,65,Cali,1,59999.0,S,No Aplica,NO,No Aplica,12,11,1,60-69,Internet-voz,100
Orden creada,H,41,Cali,2,56249.0,O,No Aplica,NO,No Aplica,12,11,1,40-49,Internet,100
Orden creada,H,59,Jamundi,3,56249.0,S,Anulacion,SI,No Aplica,12,11,1,50-59,Internet,100
Orden creada,H,59,Cali,3,69749.0,S,Voluntario,SI,No Aplica,12,11,1,50-59,Internet,300
Orden creada,H,41,Cali,4,66399.0,N,Voluntario,SI,No Aplica,12,11,1,40-49,Internet-voz,200
Rechazado,M,38,Cali,2,74399.0,S,No Aplica,NO,Otro,12,11,0,30-39,Internet-voz,300
Orden creada,M,34,Cali,2,74399.0,S,No Aplica,NO,No Aplica,12,11,1,30-39,Internet-voz,300
Orden creada,H,25,Cali,1,62250.0,O,Anulacion,SI,No Aplica,12,11,1,18-29,Internet,200
Orden creada,M,45,Cali,3,59999.0,O,Anulacion,SI,No Aplica,12,11,1,40-49,Internet-voz,100
Orden creada,H,59,Cali,4,69749.0,S,No Aplica,NO,No Aplica,12,11,1,50-59,Internet,300
Rechazado,H,58,Cali,3,69749.0,S,No Aplica,NO,Otro,12,11,0,50-59,Internet,300
Orden creada,H,21,Cali,2,69749.0,N,No Aplica,NO,No Aplica,12,11,1,18-29,Internet,300
Orden creada,H,22,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,11,1,18-29,Internet,300
Orden creada,H,45,Cali,4,62250.0,S,Anulacion,SI,No Aplica,12,11,1,40-49,Internet,200
Orden creada,M,41,Cali,3,56249.0,S,No Aplica,NO,No Aplica,12,11,1,40-49,Internet,100
Orden creada,H,37,Cali,3,59999.0,S,Anulacion,SI,No Aplica,12,12,1,30-39,Internet-voz,100
Orden creada,M,27,Cali,3,62250.0,C,Anulacion,SI,No Aplica,12,12,1,18-29,Internet,200
Orden creada,M,43,Cali,4,69749.0,C,No Aplica,NO,No Aplica,12,12,1,40-49,Internet,300
Orden creada,H,22,Cali,5,69749.0,N,Anulacion,SI,No Aplica,12,12,1,18-29,Internet,300
Orden creada,H,64,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,12,1,60-69,Internet,300
Orden creada,H,63,Cali,1,69749.0,O,No Aplica,NO,No Aplica,12,12,1,60-69,Internet,300
Orden creada,M,40,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,12,1,40-49,Internet,300
Orden creada,H,44,Jamundi,3,62250.0,S,Anulacion,SI,No Aplica,12,12,1,40-49,Internet,200
Orden creada,H,65,Cali,2,74399.0,N,No Aplica,NO,No Aplica,12,12,1,60-69,Internet-voz,300
Orden creada,M,21,Cali,1,69749.0,O,No Aplica,NO,No Aplica,12,12,1,18-29,Internet,100
Orden creada,H,35,Cali,1,69749.0,O,No Aplica,NO,No Aplica,12,12,1,30-39,Internet,300
Rechazado,H,65,Cali,3,56249.0,C,No Aplica,NO,Otro,12,12,0,60-69,Internet,100
Rechazado,H,24,Cali,3,56249.0,C,No Aplica,NO,Otro,12,12,0,18-29,Internet,100
Orden creada,H,22,Cali,1,69749.0,O,No Aplica,NO,No Aplica,12,12,1,18-29,Internet,300
Orden creada,M,42,Cali,3,66399.0,S,No Aplica,NO,No Aplica,12,12,1,40-49,Internet-voz,200
Orden creada,H,39,Cali,6,74399.0,C,Anulacion,SI,No Aplica,12,12,1,30-39,Internet-voz,300
Orden creada,H,23,Cali,2,56249.0,C,No Aplica,NO,No Aplica,12,12,1,18-29,Internet,100
Orden creada,H,50,Cali,3,69749.0,C,Cartera,SI,No Aplica,12,12,1,50-59,Internet,300
Orden creada,M,51,Cali,3,69749.0,S,Anulacion,SI,No Aplica,12,12,1,50-59,Internet,300
Anulado,H,35,Cali,3,74399.0,S,No Aplica,NO,No Aplica,12,12,0,30-39,Internet-voz,300
Orden creada,H,20,Cali,3,62250.0,S,No Aplica,NO,No Aplica,12,13,1,18-29,Internet,200
Orden creada,H,28,Cali,3,59999.0,O,No Aplica,NO,No Aplica,12,13,1,18-29,Internet-voz,100
Orden creada,H,28,Cali,5,74399.0,O,Anulacion,SI,No Aplica,12,13,1,18-29,Internet-voz,300
Orden creada,H,36,Cali,3,62250.0,C,Anulacion,SI,No Aplica,12,13,1,30-39,Internet,200
Orden creada,H,65,Cali,3,69749.0,C,No Aplica,NO,No Aplica,12,13,1,60-69,Internet,300
Orden creada,H,44,Cali,2,59999.0,O,Anulacion,SI,No Aplica,12,13,1,40-49,Internet-voz,100
Anulado,M,39,Cali,3,69749.0,O,No Aplica,NO,No Aplica,12,13,0,30-39,Internet,300
Orden creada,H,54,Cali,2,74399.0,O,Voluntario,SI,No Aplica,12,13,1,50-59,Internet-voz,300
Orden creada,M,24,Cali,1,74399.0,O,No Aplica,NO,No Aplica,12,13,1,18-29,Internet-voz,300
Orden creada,H,24,Cali,3,74399.0,S,No Aplica,NO,No Aplica,12,13,1,18-29,Internet-voz,300
Orden creada,M,52,Cali,3,74399.0,C,Voluntario,SI,No Aplica,12,14,1,50-59,Internet-voz,300
Orden creada,H,35,Cali,3,56249.0,O,No Aplica,NO,No Aplica,12,14,1,30-39,Internet,100
Orden creada,H,34,Cali,1,56249.0,C,No Aplica,NO,No Aplica,12,14,1,30-39,Internet,100
Orden creada,H,47,Cali,3,74399.0,O,No Aplica,NO,No Aplica,12,14,1,40-49,Internet-voz,300
Orden creada,H,42,Cali,2,62250.0,C,No Aplica,NO,No Aplica,12,14,1,40-49,Internet,200
Orden creada,H,18,Cali,2,68000.0,O,Voluntario,SI,No Aplica,12,15,1,18-29,Internet,80
Rechazado,H,56,Cali,2,68000.0,O,No Aplica,NO,Otro,12,15,0,50-59,Internet,80
Orden creada,H,30,Cali,2,69749.0,O,No Aplica,NO,No Aplica,12,15,1,30-39,Internet,300
Rechazado,M,56,Cali,1,74399.0,O,No Aplica,NO,Otro,12,15,0,50-59,Internet-voz,300
Orden creada,M,61,Cali,3,69749.0,C,No Aplica,NO,No Aplica,12,15,1,60-69,Internet,300
Orden creada,H,56,Cali,3,66399.0,O,No Aplica,NO,No Aplica,12,15,1,50-59,Internet-voz,200
Orden creada,H,47,Cali,3,56249.0,S,No Aplica,NO,No Aplica,12,15,1,40-49,Internet,100
Rechazado,M,51,Cali,3,74399.0,S,No Aplica,NO,Otro,12,15,0,50-59,Internet-voz,300
Rechazado,M,48,Cali,3,74399.0,S,No Aplica,NO,Otro,12,15,0,40-49,Internet-voz,300
Rechazado,M,65,Cali,3,74399.0,S,No Aplica,NO,Otro,12,15,0,60-69,Internet-voz,300
Orden creada,H,51,Cali,3,62250.0,N,Anulacion,SI,No Aplica,12,16,1,50-59,Internet,200
Rechazado,H,21,Cali,4,74399.0,S,No Aplica,NO,Otro,12,16,0,18-29,Internet-voz,300
Orden creada,H,52,Cali,5,69749.0,N,No Aplica,NO,No Aplica,12,17,1,50-59,Internet,300
Orden creada,H,49,Cali,2,66399.0,S,Voluntario,SI,No Aplica,12,17,1,40-49,Internet-voz,200
Orden creada,H,35,Cali,2,66399.0,N,No Aplica,NO,No Aplica,12,18,1,30-39,Internet-voz,200
Rechazado,H,27,Cali,3,59999.0,N,No Aplica,NO,Otro,12,18,0,18-29,Internet-voz,100
Orden creada,H,31,Cali,3,62250.0,S,Cartera,SI,No Aplica,12,18,1,30-39,Internet,200
Orden creada,M,24,Cali,3,56249.0,N,No Aplica,NO,No Aplica,12,18,1,18-29,Internet,100
Orden creada,H,37,Cali,2,56249.0,O,Cartera,SI,No Aplica,12,18,1,30-39,Internet,100
Orden creada,M,34,Cali,5,62250.0,N,No Aplica,NO,No Aplica,12,18,1,30-39,Internet,200
Rechazado,H,54,Cali,1,56249.0,O,No Aplica,NO,Otro,12,18,0,50-59,Internet,100
Orden creada,M,60,Cali,3,66399.0,S,No Aplica,NO,No Aplica,12,19,1,60-69,Internet-voz,200
Orden creada,H,28,Cali,2,74399.0,O,No Aplica,NO,No Aplica,12,19,1,18-29,Internet-voz,300
Orden creada,H,65,Cali,4,62250.0,S,Voluntario,SI,No Aplica,12,19,1,60-69,Internet,200
Orden creada,M,18,Jamundi,3,62250.0,O,No Aplica,NO,No Aplica,12,19,1,18-29,Internet,200
Orden creada,M,41,Cali,2,74399.0,C,No Aplica,NO,No Aplica,12,19,1,40-49,Internet-voz,300
Orden creada,H,24,Jamundi,3,66399.0,S,Anulacion,SI,No Aplica,12,19,1,18-29,Internet-voz,200
Orden creada,H,56,Cali,2,69749.0,C,No Aplica,NO,No Aplica,12,19,1,50-59,Internet,300
Orden creada,M,20,Cali,3,66399.0,O,No Aplica,NO,No Aplica,12,19,1,18-29,Internet-voz,200
Orden creada,M,29,Jamundi,3,69749.0,S,No Aplica,NO,No Aplica,12,20,1,18-29,Internet,300
Orden creada,H,64,Cali,3,62250.0,O,Cartera,SI,No Aplica,12,20,1,60-69,Internet,200
Orden creada,H,47,Cali,5,62250.0,C,Anulacion,SI,No Aplica,12,20,1,40-49,Internet,200
Orden creada,H,56,Cali,3,62250.0,C,No Aplica,NO,No Aplica,12,20,1,50-59,Internet,200
Orden creada,H,35,Cali,3,74399.0,S,No Aplica,NO,No Aplica,12,20,1,30-39,Internet-voz,300
Rechazado,H,29,Cali,3,59999.0,S,No Aplica,NO,Otro,12,20,0,18-29,Internet-voz,100
Orden creada,H,30,Cali,5,69749.0,N,Anulacion,SI,No Aplica,12,20,1,30-39,Internet,300
Orden creada,M,53,Cali,3,56249.0,O,No Aplica,NO,No Aplica,12,20,1,50-59,Internet,100
Rechazado,H,27,Cali,3,74399.0,S,No Aplica,NO,Otro,12,21,0,18-29,Internet-voz,300
Orden creada,H,46,Cali,1,74399.0,O,Anulacion,SI,No Aplica,12,21,1,40-49,Internet-voz,300
Orden creada,H,27,Cali,3,56249.0,S,No Aplica,NO,No Aplica,12,21,1,18-29,Internet,100
Orden creada,H,28,Cali,3,74399.0,S,Anulacion,SI,No Aplica,12,21,1,18-29,Internet-voz,300
Anulado,H,51,Cali,3,74399.0,C,No Aplica,NO,No Aplica,12,21,0,50-59,Internet-voz,300
Orden creada,H,52,Yumbo,3,62250.0,N,Anulacion,SI,No Aplica,12,21,1,50-59,Internet,200
Rechazado,M,62,Cali,2,70549.0,C,No Aplica,NO,Otro,12,22,0,60-69,Internet-voz,200
Orden creada,M,31,Cali,3,59999.0,N,No Aplica,NO,No Aplica,12,22,1,30-39,Internet-voz,100
Orden creada,H,49,Cali,3,74399.0,O,No Aplica,NO,No Aplica,12,22,1,40-49,Internet-voz,300
Rechazado,H,20,Cali,2,66399.0,C,No Aplica,NO,Otro,12,22,0,18-29,Internet-voz,200
Orden creada,H,46,Cali,3,62250.0,C,Voluntario,SI,No Aplica,12,22,1,40-49,Internet,200
Orden creada,M,42,Cali,5,69749.0,C,No Aplica,NO,No Aplica,12,22,1,40-49,Internet,300
Orden creada,H,48,Cali,3,62250.0,O,No Aplica,NO,No Aplica,12,22,1,40-49,Internet,200
Rechazado,H,28,Cali,4,62250.0,N,No Aplica,NO,Otro,12,22,0,18-29,Internet,200
Orden creada,H,27,Cali,3,59999.0,O,Cartera,SI,No Aplica,12,23,1,18-29,Internet-voz,100
Orden creada,H,37,Cali,4,66399.0,N,Anulacion,SI,No Aplica,12,23,1,30-39,Internet-voz,200
Orden creada,H,30,Cali,2,74399.0,N,Anulacion,SI,No Aplica,12,23,1,30-39,Internet-voz,300
Orden creada,H,37,Cali,3,62250.0,S,No Aplica,NO,No Aplica,12,24,1,30-39,Internet,200
Orden creada,H,51,Cali,4,74399.0,S,No Aplica,NO,No Aplica,12,25,1,50-59,Internet-voz,300
Orden creada,H,21,Cali,4,62250.0,O,Anulacion,SI,No Aplica,12,26,1,18-29,Internet,200
Orden creada,H,22,Cali,3,56249.0,O,Voluntario,SI,No Aplica,12,26,1,18-29,Internet,100
Orden creada,H,46,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,26,1,40-49,Internet,300
Orden creada,H,65,Cali,1,69749.0,O,Anulacion,SI,No Aplica,12,26,1,60-69,Internet,300
Orden creada,H,29,Cali,1,62250.0,O,No Aplica,NO,No Aplica,12,26,1,18-29,Internet,200
Orden creada,H,25,Yumbo,2,63749.0,N,No Aplica,NO,No Aplica,12,26,1,18-29,Internet-voz,100
Rechazado,M,64,Cali,4,66399.0,N,No Aplica,NO,Otro,12,26,0,60-69,Internet-voz,200
Rechazado,H,24,Cali,3,70549.0,S,No Aplica,NO,Otro,12,26,0,18-29,Internet-voz,200
Orden creada,H,49,Jamundi,4,69749.0,S,Anulacion,SI,No Aplica,12,26,1,40-49,Internet,300
Orden creada,M,24,Cali,3,74399.0,S,No Aplica,NO,No Aplica,12,26,1,18-29,Internet-voz,300
Orden creada,H,62,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,26,1,60-69,Internet,300
Orden creada,H,37,Yumbo,3,70549.0,N,No Aplica,NO,No Aplica,12,27,1,30-39,Internet-voz,200
Orden creada,M,48,Cali,3,56249.0,O,No Aplica,NO,No Aplica,12,27,1,40-49,Internet,100
Rechazado,H,44,Cali,3,63749.0,O,No Aplica,NO,Otro,12,27,0,40-49,Internet-voz,100
Rechazado,H,41,Cali,3,79049.0,O,No Aplica,NO,Otro,12,27,0,40-49,Internet-voz,300
Rechazado,H,61,Cali,5,62250.0,S,No Aplica,NO,Otro,12,27,0,60-69,Internet,200
Orden creada,M,47,Yumbo,3,63749.0,N,No Aplica,NO,No Aplica,12,27,1,40-49,Internet-voz,100
Orden creada,H,24,Cali,2,56249.0,C,Anulacion,SI,No Aplica,12,27,1,18-29,Internet,100
Orden creada,H,27,Cali,1,74399.0,C,No Aplica,NO,No Aplica,12,27,1,18-29,Internet-voz,300
Orden creada,M,51,Jamundi,3,56249.0,O,No Aplica,NO,No Aplica,12,27,1,50-59,Internet,100
Orden creada,H,28,Jamundi,3,69749.0,S,Voluntario,SI,No Aplica,12,27,1,18-29,Internet,300
Orden creada,M,37,Cali,2,56249.0,S,Voluntario,SI,No Aplica,12,27,1,30-39,Internet,100
Orden creada,H,48,Cali,2,69749.0,S,No Aplica,NO,No Aplica,12,27,1,40-49,Internet,300
Orden creada,H,64,Cali,4,69749.0,S,No Aplica,NO,No Aplica,12,27,1,60-69,Internet,300
Orden creada,H,45,Cali,1,69749.0,O,Anulacion,SI,No Aplica,12,27,1,40-49,Internet,300
Rechazado,H,36,Cali,3,63749.0,O,No Aplica,NO,Otro,12,27,0,30-39,Internet-voz,100
Rechazado,H,61,Cali,3,63749.0,O,No Aplica,NO,Otro,12,27,0,60-69,Internet-voz,100
Orden creada,H,40,Cali,2,66399.0,C,No Aplica,NO,No Aplica,12,27,1,40-49,Internet-voz,200
Orden creada,H,60,Cali,5,74399.0,N,Anulacion,SI,No Aplica,12,27,1,60-69,Internet-voz,300
Orden creada,H,28,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,27,1,18-29,Internet,300
Orden creada,M,38,Cali,1,56249.0,O,Voluntario,SI,No Aplica,12,27,1,30-39,Internet,100
Orden creada,H,31,Cali,3,56249.0,O,No Aplica,NO,No Aplica,12,27,1,30-39,Internet,100
Rechazado,H,40,Cali,3,63749.0,O,No Aplica,NO,Otro,12,28,0,40-49,Internet-voz,100
Orden creada,M,22,Cali,1,62250.0,C,No Aplica,NO,No Aplica,12,28,1,18-29,Internet,200
Orden creada,H,46,Cali,2,69749.0,C,Cartera,SI,No Aplica,12,28,1,40-49,Internet,300
Rechazado,H,31,Yumbo,3,63749.0,N,No Aplica,NO,Otro,12,28,0,30-39,Internet-voz,100
Orden creada,H,52,Cali,2,74399.0,O,Anulacion,SI,No Aplica,12,28,1,50-59,Internet-voz,300
Orden creada,H,46,Cali,1,63749.0,O,No Aplica,NO,No Aplica,12,28,1,40-49,Internet-voz,100
Rechazado,H,44,Cali,3,70549.0,O,No Aplica,NO,Otro,12,28,0,40-49,Internet-voz,200
Orden creada,H,55,Yumbo,3,63749.0,N,No Aplica,NO,No Aplica,12,28,1,50-59,Internet,100
Orden creada,M,49,Cali,2,56249.0,C,No Aplica,NO,No Aplica,12,28,1,40-49,Internet,100
Orden creada,M,66,Yumbo,3,70549.0,N,No Aplica,NO,No Aplica,12,28,1,60-69,Internet-voz,200
Orden creada,H,49,Cali,2,68000.0,C,Anulacion,SI,No Aplica,12,28,1,40-49,Internet,80
Orden creada,H,50,Jamundi,3,56249.0,S,Anulacion,SI,No Aplica,12,28,1,50-59,Internet,100
Rechazado,M,34,Cali,3,63749.0,S,No Aplica,NO,Otro,12,28,0,30-39,Internet,100
Orden creada,H,60,Cali,3,69749.0,O,Cartera,SI,No Aplica,12,28,1,60-69,Internet,300
Orden creada,H,54,Cali,4,69749.0,S,No Aplica,NO,No Aplica,12,28,1,50-59,Internet,300
Orden creada,H,30,Cali,4,62250.0,C,No Aplica,NO,No Aplica,12,28,1,30-39,Internet,200
Rechazado,H,63,Cali,3,63749.0,O,No Aplica,NO,Otro,12,29,0,60-69,Internet-voz,100
Orden creada,M,49,Cali,3,69749.0,S,No Aplica,NO,No Aplica,12,29,1,40-49,Internet,300
Rechazado,H,47,Yumbo,2,70549.0,N,No Aplica,NO,Otro,12,29,0,40-49,Internet-voz,200
Rechazado,H,28,Yumbo,2,70549.0,N,No Aplica,NO,Otro,12,29,0,18-29,Internet-voz,200
Orden creada,H,18,Cali,3,69749.0,C,No Aplica,NO,No Aplica,12,29,1,18-29,Internet,300
Orden creada,H,58,Cali,3,79049.0,C,Cartera,SI,No Aplica,12,29,1,50-59,Internet-voz,300
Rechazado,H,58,Cali,3,63749.0,O,No Aplica,NO,Otro,12,29,0,50-59,Internet-voz,100
Orden creada,H,21,Jamundi,4,70549.0,S,No Aplica,NO,No Aplica,12,29,1,18-29,Internet-voz,200
Orden creada,H,36,Cali,2,74399.0,N,No Aplica,NO,No Aplica,12,29,1,30-39,Internet-voz,300
Orden creada,H,56,Cali,4,66399.0,N,Voluntario,SI,No Aplica,12,29,1,50-59,Internet-voz,200
Orden creada,H,50,Cali,2,66399.0,O,No Aplica,NO,No Aplica,12,29,1,50-59,Internet-voz,200
Orden creada,H,32,Cali,2,69749.0,C,No Aplica,NO,No Aplica,12,30,1,30-39,Internet,300
Orden creada,M,45,Cali,3,74399.0,S,No Aplica,NO,No Aplica,12,30,1,40-49,Internet-voz,300
Orden creada,H,51,Cali,2,83000.0,C,Voluntario,SI,No Aplica,12,31,1,50-59,Internet,200
Orden creada,H,34,Cali,2,74999.0,S,Anulacion,SI,No Aplica,1,2,1,30-39,Internet-voz,100
Rechazado,H,46,Cali,3,74999.0,O,No Aplica,NO,Otro,1,2,0,40-49,Internet-voz,100
Rechazado,M,43,Cali,1,82999.0,O,No Aplica,NO,Otro,1,2,0,40-49,Internet-voz,200
Rechazado,M,64,Cali,1,82999.0,O,No Aplica,NO,Otro,1,2,0,60-69,Internet-voz,200
Rechazado,H,18,Cali,2,74999.0,C,No Aplica,NO,Otro,1,2,0,18-29,Internet-voz,100
Rechazado,M,44,Cali,3,69999.0,N,No Aplica,NO,Otro,1,2,0,40-49,Internet-voz,80
Rechazado,H,23,Cali,3,82999.0,O,No Aplica,NO,Otro,1,2,0,18-29,Internet-voz,200
Orden creada,H,59,Cali,3,74999.0,O,Cartera,SI,No Aplica,1,2,1,50-59,Internet-voz,100
Orden creada,M,64,Cali,4,74999.0,N,No Aplica,NO,No Aplica,1,2,1,60-69,Internet-voz,100
Orden creada,M,53,Cali,3,82999.0,O,No Aplica,NO,No Aplica,1,2,1,50-59,Internet-voz,200
Orden creada,H,55,Cali,3,82999.0,S,No Aplica,NO,No Aplica,1,2,1,50-59,Internet-voz,200
Rechazado,M,23,Cali,1,74999.0,O,No Aplica,NO,Otro,1,2,0,18-29,Internet-voz,100
Rechazado,H,27,Cali,3,74999.0,N,No Aplica,NO,Otro,1,2,0,18-29,Internet,100
Orden creada,M,61,Cali,4,82999.0,N,Anulacion,SI,No Aplica,1,2,1,60-69,Internet-voz,200
Rechazado,H,29,Cali,3,82999.0,O,No Aplica,NO,Otro,1,2,0,18-29,Internet-voz,200
Orden creada,H,47,Cali,1,68000.0,O,Anulacion,SI,No Aplica,1,2,1,40-49,Internet,80
Orden creada,M,41,Cali,2,74999.0,N,No Aplica,NO,No Aplica,1,2,1,40-49,Internet,100
Rechazado,H,31,Cali,2,69999.0,C,No Aplica,NO,Otro,1,3,0,30-39,Internet-voz,80
Orden creada,H,41,Cali,2,74999.0,N,Anulacion,SI,No Aplica,1,3,1,40-49,Internet-voz,100
Rechazado,M,52,Cali,1,82999.0,O,No Aplica,NO,Otro,1,3,0,50-59,Internet-voz,200
Orden creada,M,56,Cali,2,68000.0,N,No Aplica,NO,No Aplica,1,4,1,50-59,Internet,80
Rechazado,H,19,Cali,3,69999.0,N,No Aplica,NO,Otro,1,4,0,18-29,Internet-voz,80
Rechazado,M,61,Cali,5,82999.0,O,No Aplica,NO,Otro,1,4,0,60-69,Internet-voz,200
Orden creada,H,58,Cali,3,82999.0,S,No Aplica,NO,No Aplica,1,4,1,50-59,Internet-voz,200
Orden creada,M,49,Cali,5,74999.0,O,No Aplica,NO,No Aplica,1,4,1,40-49,Internet-voz,100
Rechazado,H,61,Cali,3,82999.0,S,No Aplica,NO,Otro,1,4,0,60-69,Internet-voz,200
Orden creada,H,20,Cali,1,69999.0,N,Cartera,SI,No Aplica,1,4,1,18-29,Internet-voz,80
Orden creada,H,32,Cali,1,68000.0,O,Anulacion,SI,No Aplica,1,4,1,30-39,Internet,80
Orden creada,H,52,Cali,3,82999.0,S,No Aplica,NO,No Aplica,1,4,1,50-59,Internet-voz,200
Rechazado,H,46,Jamundi,3,74999.0,S,No Aplica,NO,Otro,1,4,0,40-49,Internet-voz,100
Rechazado,H,52,Cali,2,74999.0,C,No Aplica,NO,Otro,1,4,0,50-59,Internet-voz,100
Orden creada,H,45,Cali,1,82999.0,O,No Aplica,NO,No Aplica,1,4,1,40-49,Internet-voz,200
Orden creada,M,35,Cali,3,82999.0,S,No Aplica,NO,No Aplica,1,4,1,30-39,Internet-voz,200
Rechazado,H,39,Cali,3,74999.0,N,No Aplica,NO,Otro,1,5,0,30-39,Internet-voz,100
