is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,M,32,Cali,3,56249.0,C,No Aplica,NO,No Aplica,7,18,1,30-39,Internet,100
Orden creada,M,43,Cali,2,69749.0,O,Anulacion,SI,No Aplica,7,18,1,40-49,Internet,300
Orden creada,M,61,Cali,4,62250.0,S,Cartera,SI,No Aplica,7,19,1,60-69,Internet,200
Orden creada,M,38,Cali,3,74399.0,O,No Aplica,NO,No Aplica,7,19,1,30-39,Internet-voz,300
Orden creada,M,33,Cali,3,66399.0,S,No Aplica,NO,No Aplica,7,19,1,30-39,Internet-voz,200
Orden creada,M,34,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,19,1,30-39,Internet,300
Orden creada,H,45,Cali,3,69749.0,O,No Aplica,NO,No Aplica,7,20,1,40-49,Internet,300
Orden creada,H,43,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,21,1,40-49,Internet,300
Orden creada,H,23,Cali,3,59999.0,O,No Aplica,NO,No Aplica,7,21,1,18-29,Internet-voz,100
Orden creada,M,58,Cali,3,62250.0,O,No Aplica,NO,No Aplica,7,21,1,50-59,Internet,200
Orden creada,M,40,Cali,3,59999.0,O,Voluntario,SI,No Aplica,7,21,1,40-49,Internet-voz,100
Orden creada,H,56,Cali,2,69749.0,O,No Aplica,NO,No Aplica,7,21,1,50-59,Internet,300
Orden creada,H,65,Cali,4,62250.0,O,Anulacion,SI,No Aplica,7,21,1,60-69,Internet,200
Orden creada,H,63,Cali,3,62250.0,S,No Aplica,NO,No Aplica,7,22,1,60-69,Internet,200
Rechazado,M,46,Cali,2,59999.0,O,No Aplica,NO,Otro,7,24,0,40-49,Internet-voz,100
Rechazado,H,49,Cali,3,59999.0,S,No Aplica,NO,Otro,7,24,0,40-49,Internet-voz,100
Orden creada,H,25,Cali,3,56249.0,O,No Aplica,NO,No Aplica,7,24,1,18-29,Internet,100
Rechazado,H,29,Cali,2,59999.0,O,No Aplica,NO,Otro,7,24,0,18-29,Internet-voz,100
Orden creada,H,34,Cali,5,69749.0,N,No Aplica,NO,No Aplica,7,24,1,30-39,Internet,300
Orden creada,M,55,Jamundi,3,62250.0,S,Voluntario,SI,No Aplica,7,24,1,50-59,Internet,200
Orden creada,H,57,Cali,5,74399.0,S,Voluntario,SI,No Aplica,7,25,1,50-59,Internet-voz,300
Orden creada,H,56,Yumbo,3,62250.0,N,No Aplica,NO,No Aplica,7,26,1,50-59,Internet,200
Orden creada,H,38,Cali,4,62250.0,S,Anulacion,SI,No Aplica,7,26,1,30-39,Internet,200
Orden creada,M,63,Cali,5,66399.0,S,No Aplica,NO,No Aplica,7,26,1,60-69,Internet-voz,200
Orden creada,H,41,Cali,2,69749.0,O,No Aplica,NO,No Aplica,7,26,1,40-49,Internet,300
Orden creada,H,59,Jamundi,3,59999.0,S,Anulacion,SI,No Aplica,7,27,1,50-59,Internet-voz,100
Orden creada,H,57,Cali,3,69749.0,O,No Aplica,NO,No Aplica,7,27,1,50-59,Internet,300
Orden creada,M,43,Cali,3,69749.0,S,No Aplica,NO,No Aplica,7,27,1,40-49,Internet,300
Orden creada,H,46,Cali,1,56249.0,O,No Aplica,NO,No Aplica,7,27,1,40-49,Internet,100
Orden creada,M,28,Cali,4,74399.0,S,Cartera,SI,No Aplica,7,28,1,18-29,Internet-voz,300
Orden creada,M,59,Cali,3,74399.0,C,No Aplica,NO,No Aplica,7,29,1,50-59,Internet-voz,300
Orden creada,M,29,Cali,3,69749.0,O,No Aplica,NO,No Aplica,7,29,1,18-29,Internet,300
Orden creada,H,49,Cali,3,74399.0,N,Voluntario,SI,No Aplica,7,29,1,40-49,Internet-voz,300
Orden creada,H,39,Cali,2,74399.0,O,No Aplica,NO,No Aplica,7,30,1,30-39,Internet-voz,300
Orden creada,M,57,Cali,3,59999.0,O,Voluntario,SI,No Aplica,7,31,1,50-59,Internet-voz,100
Orden creada,H,58,Cali,3,66399.0,O,Cartera,SI,No Aplica,7,31,1,50-59,Internet-voz,200
Orden creada,H,51,Cali,3,59999.0,O,No Aplica,NO,No Aplica,7,31,1,50-59,Internet-voz,100
Orden creada,H,33,Cali,2,66399.0,O,No Aplica,NO,No Aplica,7,31,1,30-39,Internet-voz,200
Rechazado,M,42,Cali,4,74399.0,S,No Aplica,NO,Otro,7,31,0,40-49,Internet-voz,300
Orden creada,H,37,Cali,3,56249.0,O,No Aplica,NO,No Aplica,7,31,1,30-39,Internet,100
Orden creada,H,66,Jamundi,5,69749.0,S,No Aplica,NO,No Aplica,7,31,1,60-69,Internet,300
Orden creada,H,26,Cali,1,69749.0,O,No Aplica,NO,No Aplica,7,31,1,18-29,Internet,300
Orden creada,M,32,Cali,2,59999.0,O,No Aplica,NO,No Aplica,7,31,1,30-39,Internet-voz,100
Orden creada,M,48,Cali,2,56249.0,O,No Aplica,NO,No Aplica,8,1,1,40-49,Internet,100
