is_actived,Genero,Edad,city_owner,estrato,plan,id_plan,price_plan,user_creation_id,cdo,plan_type,ventas_Retiradas_causales,Retiro,id_comuna,Comuna,duracion_contrato,dia_semana_num,mes
Orden creada,M,28,Cali,1,INTERNET 250MB 24,1279,58565.0,15945,0005S0905,Internet,No Aplica,NO,0,NR,245,7,7
Rechazado,H,34,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15735,0013S7224,Dupla,No Aplica,NO,14,Comuna 14,245,7,7
Anulado,H,52,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15947,0013S9574,Dupla,No Aplica,NO,13,Comuna 13,245,7,7
Orden creada,H,39,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,15949,0019S5221,Dupla,No Aplica,NO,6,Comuna 06,245,7,7
Orden creada,H,36,Cali,3,INTERNET 350MB 24,1278,62800.0,15950,0005S6007,Internet,No Aplica,NO,13,Comuna 13,245,7,7
Anulado,H,52,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15952,0001S2767,Dupla,No Aplica,NO,11,Comuna 11,244,7,7
Orden creada,M,60,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,58320.0,15881,0013S8366,Dupla,No Aplica,NO,14,Comuna 14,244,7,7
Anulado,M,40,Cali,1,INTERNET 350MB 24,1278,62800.0,15956,0013S0117,Internet,No Aplica,NO,15,Comuna 15,244,7,7
Rechazado,M,30,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15958,0013S9650,Dupla,No Aplica,NO,13,Comuna 13,244,1,7
Por Firmar,H,52,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,64800.0,15959,0001S1121,Dupla,No Aplica,NO,10,Comuna 10,244,1,7
Orden creada,H,47,Cali,1,DPL BA 500MB+VOZ ILIM-24,1282,107100.0,15962,0013S6709,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
